                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.1404,                0.84331,                 1.2181,                0.64103,                0.58249,                0.66186,                0.45775,                  1.284,                0.76287,                 1.3267,             0.00044563,             0.00044563,             0.00044563
                     68,                 1.1321,                0.84762,                 1.2147,                0.89001,                0.57613,                0.63944,                0.44154,                 1.2826,                0.76271,                 1.3293,             0.00043325,             0.00043325,             0.00043325
                     69,                 1.1307,                0.83936,                 1.2119,                0.61581,                0.65895,                0.63832,                0.44091,                 1.2799,                0.76124,                 1.3245,             0.00042087,             0.00042087,             0.00042087
                     70,                 1.1289,                 0.8389,                 1.2116,                0.89264,                0.57817,                 0.6361,                 0.4372,                 1.2753,                0.76251,                  1.323,              0.0004085,              0.0004085,              0.0004085
                     71,                 1.1091,                0.82559,                 1.2036,                0.63423,                0.58483,                0.63443,                0.43933,                 1.2816,                0.76553,                 1.3314,             0.00039613,             0.00039613,             0.00039613
                     72,                 1.1237,                0.81879,                 1.2073,                0.64153,                0.58178,                0.63935,                0.44291,                 1.2839,                0.75521,                  1.324,             0.00038375,             0.00038375,             0.00038375
                     73,                 1.1219,                0.82042,                 1.2029,                0.64248,                0.58893,                0.63959,                0.44176,                 1.2803,                0.74571,                 1.3254,             0.00037138,             0.00037138,             0.00037138
                     74,                  1.112,                0.81734,                 1.2045,                0.58456,                0.67664,                0.64892,                0.44786,                   1.29,                0.74379,                 1.3286,               0.000359,               0.000359,               0.000359
                     75,                 1.1157,                0.81352,                 1.2042,                0.71285,                0.62851,                0.64862,                0.45174,                 1.2772,                0.74261,                 1.3256,             0.00034663,             0.00034663,             0.00034663
                     76,                 1.1008,                 0.8093,                 1.1978,                0.64087,                0.59269,                0.64291,                0.44493,                   1.28,                0.74344,                 1.3258,             0.00033425,             0.00033425,             0.00033425
